https://www.CryptoDataDownload.com
id,unix,date,symbol,open,high,low,close,vwap,Volume XRP,Volume USD,tradecount
442642,1595808000,2020-07-27 00:00:00,XRP/USD,0.21544,0.22954,0.20903,0.22432,0.22000,29684927.25844128,6658922.882613548,6734
442641,1595721600,2020-07-26 00:00:00,XRP/USD,0.21486,0.22528,0.21301,0.21547,0.21819,21921072.82376291,4723333.561336194,4547
442640,1595635200,2020-07-25 00:00:00,XRP/USD,0.20424,0.21783,0.20388,0.21491,0.21151,11528627.76820105,2477617.3936640876,3124
442639,1595548800,2020-07-24 00:00:00,XRP/USD,0.20860,0.20870,0.20191,0.20428,0.20486,10545970.79142195,2154330.913271676,2214
442638,1595462400,2020-07-23 00:00:00,XRP/USD,0.20421,0.21049,0.20200,0.20861,0.20618,19598898.29760446,4088526.173863266,3942
442637,1595376000,2020-07-22 00:00:00,XRP/USD,0.19960,0.20484,0.19628,0.20423,0.20004,11468163.41584898,2342143.014418837,2504
442636,1595289600,2020-07-21 00:00:00,XRP/USD,0.19473,0.20114,0.19417,0.19960,0.19846,8895256.83376943,1775493.2640203782,2172
442635,1595203200,2020-07-20 00:00:00,XRP/USD,0.19983,0.20029,0.19172,0.19484,0.19650,8370877.90086595,1630981.8502047218,1950
442634,1595116800,2020-07-19 00:00:00,XRP/USD,0.19985,0.20217,0.19585,0.19965,0.19827,8950190.84160103,1786905.6015256457,1941
442633,1595030400,2020-07-18 00:00:00,XRP/USD,0.19440,0.20186,0.19392,0.19969,0.19828,9271839.40451019,1851493.61068664,1854
442632,1594944000,2020-07-17 00:00:00,XRP/USD,0.19443,0.19774,0.19113,0.19449,0.19445,10814391.77008874,2103291.055364559,2007
442631,1594857600,2020-07-16 00:00:00,XRP/USD,0.19703,0.19735,0.18852,0.19404,0.19227,11658006.70518450,2262119.6210740004,2910
442630,1594771200,2020-07-15 00:00:00,XRP/USD,0.19900,0.19967,0.19651,0.19716,0.19773,8948759.34848127,1764337.393146567,2017
442629,1594684800,2020-07-14 00:00:00,XRP/USD,0.19854,0.19960,0.19512,0.19890,0.19786,7624675.78551323,1516548.0137385814,2141
442628,1594598400,2020-07-13 00:00:00,XRP/USD,0.20127,0.20668,0.19213,0.19859,0.19974,22966785.13455520,4560973.859871317,4616
442627,1594512000,2020-07-12 00:00:00,XRP/USD,0.20115,0.20391,0.19749,0.20105,0.20048,8885703.93561445,1786470.7762552851,2080
442626,1594425600,2020-07-11 00:00:00,XRP/USD,0.19920,0.20467,0.19805,0.20115,0.20085,10016855.15084412,2014890.4135922946,2242
442625,1594339200,2020-07-10 00:00:00,XRP/USD,0.20260,0.20260,0.19222,0.19877,0.19751,15530607.67180802,3087018.88692528,3399
442624,1594252800,2020-07-09 00:00:00,XRP/USD,0.20541,0.21177,0.19701,0.20260,0.20261,24650254.55567117,4994141.572978979,5612
442623,1594166400,2020-07-08 00:00:00,XRP/USD,0.18521,0.20666,0.18401,0.20547,0.19923,35305903.58095136,7254304.008778077,6943
442622,1594080000,2020-07-07 00:00:00,XRP/USD,0.18875,0.18950,0.18307,0.18521,0.18600,7222890.14914522,1337751.4845231865,1845
442621,1593993600,2020-07-06 00:00:00,XRP/USD,0.17701,0.18919,0.17668,0.18874,0.18501,11150033.13250342,2104457.2534286953,2720
442620,1593907200,2020-07-05 00:00:00,XRP/USD,0.17803,0.17877,0.17396,0.17728,0.17649,5539508.05864104,982043.9886358834,1278
442619,1593820800,2020-07-04 00:00:00,XRP/USD,0.17622,0.17952,0.17614,0.17804,0.17806,3613007.29441821,643259.8186982182,1487
442618,1593734400,2020-07-03 00:00:00,XRP/USD,0.17488,0.17849,0.17450,0.17644,0.17685,4768053.23094701,841275.3120682905,1248
442617,1593648000,2020-07-02 00:00:00,XRP/USD,0.17655,0.17731,0.17226,0.17488,0.17487,7375238.13167830,1289781.6444679012,1746
442616,1593561600,2020-07-01 00:00:00,XRP/USD,0.17534,0.17831,0.17379,0.17656,0.17608,6690203.06111388,1181222.2524702665,1602
442615,1593475200,2020-06-30 00:00:00,XRP/USD,0.17727,0.17773,0.17491,0.17538,0.17619,6716099.99844155,1177869.6177266792,1370
442614,1593388800,2020-06-29 00:00:00,XRP/USD,0.17678,0.17910,0.17493,0.17745,0.17690,11569508.66464726,2053009.3125416564,2201
442613,1593302400,2020-06-28 00:00:00,XRP/USD,0.17513,0.17973,0.17333,0.17679,0.17735,6254473.40040716,1105728.3524579818,1578
442612,1593216000,2020-06-27 00:00:00,XRP/USD,0.18238,0.18320,0.16900,0.17512,0.17580,13938297.24094140,2440874.612833658,2900
442611,1593129600,2020-06-26 00:00:00,XRP/USD,0.18139,0.18678,0.17834,0.18245,0.18161,11183623.97216909,2040452.1937222504,2116
442610,1593043200,2020-06-25 00:00:00,XRP/USD,0.18321,0.18385,0.17842,0.18141,0.18173,8202108.24421428,1487944.4565829122,1720
442609,1592956800,2020-06-24 00:00:00,XRP/USD,0.18882,0.19000,0.18138,0.18327,0.18485,8569007.90940553,1570442.0795567513,2111
442608,1592870400,2020-06-23 00:00:00,XRP/USD,0.18941,0.19051,0.18837,0.18883,0.18899,7285561.15129108,1375732.5121982945,1700
442607,1592784000,2020-06-22 00:00:00,XRP/USD,0.18579,0.19049,0.18571,0.18989,0.18866,10821184.02103206,2054834.6337537777,2301
442606,1592697600,2020-06-21 00:00:00,XRP/USD,0.18788,0.18821,0.18551,0.18571,0.18690,2633579.19752141,489081.992771701,797
442605,1592611200,2020-06-20 00:00:00,XRP/USD,0.18703,0.18889,0.18481,0.18784,0.18714,4105720.55312061,771218.5486981753,1021
442604,1592524800,2020-06-19 00:00:00,XRP/USD,0.18964,0.19000,0.18628,0.18693,0.18821,6293317.99835880,1176409.9334332105,3035
442603,1592438400,2020-06-18 00:00:00,XRP/USD,0.19309,0.19309,0.18813,0.18956,0.19056,8414101.90328416,1594977.1567865454,3172
442602,1592352000,2020-06-17 00:00:00,XRP/USD,0.19260,0.19869,0.18837,0.19311,0.19270,13172761.66008891,2543792.004179769,3571
442601,1592265600,2020-06-16 00:00:00,XRP/USD,0.19260,0.19415,0.19010,0.19241,0.19192,10470007.66367538,2014534.17456778,2922
442600,1592179200,2020-06-15 00:00:00,XRP/USD,0.19003,0.19358,0.18195,0.19260,0.18777,11113838.93023163,2140525.377962612,3976
442599,1592092800,2020-06-14 00:00:00,XRP/USD,0.19229,0.19244,0.18881,0.19015,0.19096,4141650.37060063,787534.8179697099,993
442598,1592006400,2020-06-13 00:00:00,XRP/USD,0.19293,0.19377,0.19096,0.19267,0.19216,4229313.87825630,814861.9049236415,1072
442597,1591920000,2020-06-12 00:00:00,XRP/USD,0.18750,0.19492,0.18663,0.19294,0.19222,9454789.60697597,1824207.1067699438,1937
442596,1591833600,2020-06-11 00:00:00,XRP/USD,0.20292,0.20350,0.18303,0.18875,0.19302,18136890.67268389,3423338.1144690844,3436
442595,1591747200,2020-06-10 00:00:00,XRP/USD,0.20145,0.20408,0.20000,0.20262,0.20184,5642693.01465998,1143322.4586304051,1658
442594,1591660800,2020-06-09 00:00:00,XRP/USD,0.20431,0.20562,0.20025,0.20144,0.20223,8000050.30968607,1611530.134383162,2086
442593,1591574400,2020-06-08 00:00:00,XRP/USD,0.20327,0.20450,0.20142,0.20431,0.20270,5627260.41347080,1149705.5750762192,1921
442592,1591488000,2020-06-07 00:00:00,XRP/USD,0.20364,0.20487,0.19861,0.20327,0.20191,7617436.80204618,1548396.378751927,1630
442591,1591401600,2020-06-06 00:00:00,XRP/USD,0.20261,0.20476,0.20131,0.20384,0.20289,5059565.22049177,1031341.7745450423,1097
442590,1591315200,2020-06-05 00:00:00,XRP/USD,0.20434,0.20569,0.20134,0.20280,0.20329,6103663.97803409,1237823.0547453135,1691
442589,1591228800,2020-06-04 00:00:00,XRP/USD,0.20409,0.20738,0.19930,0.20434,0.20409,8863748.77031005,1811218.4237251556,2430
442588,1591142400,2020-06-03 00:00:00,XRP/USD,0.20278,0.20475,0.20100,0.20403,0.20325,6408319.41177356,1307489.4095841593,2228
442587,1591056000,2020-06-02 00:00:00,XRP/USD,0.21120,0.21456,0.19766,0.20305,0.20553,19052877.92938394,3868686.8635614095,4320
442586,1590969600,2020-06-01 00:00:00,XRP/USD,0.20220,0.21300,0.20117,0.21105,0.20728,8938840.85395748,1886542.362227726,2741
442585,1590883200,2020-05-31 00:00:00,XRP/USD,0.20707,0.21364,0.20022,0.20239,0.20685,9261633.56563610,1874462.0173490902,2882
442584,1590796800,2020-05-30 00:00:00,XRP/USD,0.19759,0.20785,0.19611,0.20697,0.20171,7862692.11078939,1627341.38617008,2387
442583,1590710400,2020-05-29 00:00:00,XRP/USD,0.20065,0.20300,0.19634,0.19746,0.19940,6372127.20766695,1258240.238425916,1804
442582,1590624000,2020-05-28 00:00:00,XRP/USD,0.19789,0.20102,0.19502,0.20047,0.19780,3965695.39704015,795002.9562446389,1349
442581,1590537600,2020-05-27 00:00:00,XRP/USD,0.19383,0.20041,0.19383,0.19764,0.19725,11567577.29535248,2286215.976653464,1841
442580,1590451200,2020-05-26 00:00:00,XRP/USD,0.19692,0.19692,0.19139,0.19377,0.19414,4225639.67269427,818802.1993779686,1098
442579,1590364800,2020-05-25 00:00:00,XRP/USD,0.19258,0.19710,0.18980,0.19602,0.19380,6132983.73868119,1202187.472456287,1665
442578,1590278400,2020-05-24 00:00:00,XRP/USD,0.19891,0.20121,0.19231,0.19260,0.19762,7310393.29296277,1407981.7482246296,1470
442577,1590192000,2020-05-23 00:00:00,XRP/USD,0.20042,0.20217,0.19805,0.19879,0.20015,4976523.20826680,989283.0485713572,1309
442576,1590105600,2020-05-22 00:00:00,XRP/USD,0.19420,0.20259,0.19198,0.20005,0.19940,11510630.63805490,2302701.6591428826,2468
442575,1590019200,2020-05-21 00:00:00,XRP/USD,0.20178,0.20293,0.18941,0.19422,0.19490,13850777.42712933,2690097.9918970587,2946
442574,1589932800,2020-05-20 00:00:00,XRP/USD,0.20498,0.20600,0.19725,0.20185,0.20189,9114750.81342564,1839812.4516899653,1905
442573,1589846400,2020-05-19 00:00:00,XRP/USD,0.20546,0.20660,0.20088,0.20504,0.20374,5968123.39715896,1223704.0213534732,1519
442572,1589760000,2020-05-18 00:00:00,XRP/USD,0.20130,0.20819,0.20110,0.20527,0.20457,7238697.78701161,1485887.4947398733,2131
442571,1589673600,2020-05-17 00:00:00,XRP/USD,0.19923,0.20476,0.19909,0.20109,0.20255,4245519.12938164,853731.441727354,1233
442570,1589587200,2020-05-16 00:00:00,XRP/USD,0.19809,0.20222,0.19636,0.19961,0.19963,4862585.99943651,970620.7913475218,1145
442569,1589500800,2020-05-15 00:00:00,XRP/USD,0.20451,0.20461,0.19518,0.19730,0.19948,9877419.69865591,1948814.9065448113,2288
442568,1589414400,2020-05-14 00:00:00,XRP/USD,0.20208,0.20651,0.19849,0.20400,0.20307,11336894.10744917,2312726.3979196306,2450
442567,1589328000,2020-05-13 00:00:00,XRP/USD,0.19725,0.20422,0.19596,0.20201,0.20061,5383440.62854583,1087508.841372543,1793
442566,1589241600,2020-05-12 00:00:00,XRP/USD,0.19257,0.20021,0.19166,0.19709,0.19671,8128019.66291922,1601951.3953647488,2037
442565,1589155200,2020-05-11 00:00:00,XRP/USD,0.19760,0.20010,0.18500,0.19334,0.19265,18055467.78324012,3490844.141211645,3966
442564,1589068800,2020-05-10 00:00:00,XRP/USD,0.21612,0.21612,0.18000,0.19754,0.19559,28448345.77874483,5619686.225133254,7836
442563,1588982400,2020-05-09 00:00:00,XRP/USD,0.21898,0.22533,0.21522,0.21564,0.22060,10842529.97610791,2338083.16404791,2844
442562,1588896000,2020-05-08 00:00:00,XRP/USD,0.21880,0.22237,0.21453,0.21927,0.21897,8689332.22787322,1905309.8776057607,2674
442561,1588809600,2020-05-07 00:00:00,XRP/USD,0.21157,0.22117,0.21014,0.21880,0.21679,12122338.84502864,2652367.7392922663,2680
442560,1588723200,2020-05-06 00:00:00,XRP/USD,0.21731,0.22289,0.21100,0.21168,0.21833,8902302.64994624,1884439.4249406203,2484
442559,1588636800,2020-05-05 00:00:00,XRP/USD,0.21889,0.22248,0.21380,0.21726,0.21742,6681060.52715738,1451527.2101302126,2009
442558,1588550400,2020-05-04 00:00:00,XRP/USD,0.21971,0.22087,0.20747,0.21821,0.21511,15375967.37283590,3355189.840426522,3851
442557,1588464000,2020-05-03 00:00:00,XRP/USD,0.22388,0.22696,0.21590,0.21964,0.22201,8093518.96868831,1777660.5062827005,2383
442556,1588377600,2020-05-02 00:00:00,XRP/USD,0.21789,0.22594,0.21561,0.22400,0.22140,9717886.25247268,2176806.5205538804,2618
442555,1588291200,2020-05-01 00:00:00,XRP/USD,0.21139,0.22436,0.21139,0.21774,0.21787,13699369.25882014,2982900.6624154975,3125
442554,1588204800,2020-04-30 00:00:00,XRP/USD,0.22675,0.23602,0.20846,0.21178,0.22385,47393878.84303111,10037075.661377128,8330
442553,1588118400,2020-04-29 00:00:00,XRP/USD,0.21441,0.23500,0.20483,0.22662,0.22177,35160584.09334065,7968091.567232857,6918
442552,1588032000,2020-04-28 00:00:00,XRP/USD,0.19782,0.21844,0.19501,0.21489,0.20760,16192622.89028935,3479632.732894278,4313
442551,1587945600,2020-04-27 00:00:00,XRP/USD,0.19682,0.19974,0.19448,0.19792,0.19668,11842279.99059809,2343824.055739174,2352
442550,1587859200,2020-04-26 00:00:00,XRP/USD,0.19430,0.19756,0.19229,0.19706,0.19543,10192790.53837168,2008591.3034915235,1998
442549,1587772800,2020-04-25 00:00:00,XRP/USD,0.19342,0.19805,0.19169,0.19437,0.19471,6549128.18534151,1272954.0453848292,1755
442548,1587686400,2020-04-24 00:00:00,XRP/USD,0.19257,0.19702,0.19245,0.19328,0.19448,6824994.89035895,1319135.0124085778,1849
442547,1587600000,2020-04-23 00:00:00,XRP/USD,0.18834,0.19994,0.18581,0.19283,0.19361,16199454.21039364,3123740.7553902054,3852
442546,1587513600,2020-04-22 00:00:00,XRP/USD,0.18358,0.18990,0.18218,0.18815,0.18691,7683087.67187200,1445572.945462717,1790
442545,1587427200,2020-04-21 00:00:00,XRP/USD,0.18175,0.18661,0.18150,0.18340,0.18401,10207568.74904043,1872068.108574015,2505
442544,1587340800,2020-04-20 00:00:00,XRP/USD,0.18912,0.19487,0.17855,0.18177,0.18648,15994982.32998415,2907407.9381212187,3393
442543,1587254400,2020-04-19 00:00:00,XRP/USD,0.19588,0.19635,0.18823,0.18920,0.19238,8245157.40147088,1559983.7803582905,1880
442542,1587168000,2020-04-18 00:00:00,XRP/USD,0.18925,0.19739,0.18890,0.19501,0.19285,11006594.14214361,2146395.923659425,2305
442541,1587081600,2020-04-17 00:00:00,XRP/USD,0.19113,0.19200,0.18635,0.18880,0.18935,8721099.11718298,1646543.5133241464,2141
442540,1586995200,2020-04-16 00:00:00,XRP/USD,0.18047,0.19349,0.17406,0.19090,0.18487,21360876.36802677,4077791.2986563104,4291
442539,1586908800,2020-04-15 00:00:00,XRP/USD,0.18620,0.18998,0.18003,0.18048,0.18471,12118707.52647362,2187184.334377959,2461
442538,1586822400,2020-04-14 00:00:00,XRP/USD,0.18857,0.18950,0.18407,0.18631,0.18716,8555701.09123772,1594012.6703084996,2069
442537,1586736000,2020-04-13 00:00:00,XRP/USD,0.18950,0.18982,0.18037,0.18833,0.18482,15405007.32648832,2901225.029797545,3860
442536,1586649600,2020-04-12 00:00:00,XRP/USD,0.18917,0.19648,0.18657,0.18968,0.19247,10675962.75563564,2025016.615488968,2641
442535,1586563200,2020-04-11 00:00:00,XRP/USD,0.18798,0.19248,0.18528,0.18905,0.18858,8306648.72795783,1570371.9420204277,2359
442534,1586476800,2020-04-10 00:00:00,XRP/USD,0.19843,0.19867,0.18162,0.18778,0.18856,16827886.93355847,3159940.60838361,4130
442533,1586390400,2020-04-09 00:00:00,XRP/USD,0.20207,0.20250,0.19400,0.19888,0.19897,9375194.41246671,1864538.6647513793,2463
442532,1586304000,2020-04-08 00:00:00,XRP/USD,0.19285,0.20294,0.19165,0.20207,0.19862,11370273.96658088,2297591.2604269986,3020
442531,1586217600,2020-04-07 00:00:00,XRP/USD,0.19854,0.20538,0.18973,0.19290,0.19875,23361845.98811202,4506500.091106809,5517
442530,1586131200,2020-04-06 00:00:00,XRP/USD,0.17959,0.19861,0.17959,0.19836,0.19028,23249646.18823522,4611799.817898339,4987
442529,1586044800,2020-04-05 00:00:00,XRP/USD,0.18177,0.18247,0.17629,0.17959,0.17924,4887927.38777259,877822.8795700794,1386
442528,1585958400,2020-04-04 00:00:00,XRP/USD,0.17935,0.18399,0.17788,0.18159,0.18043,8290850.70605126,1505535.5797118484,1877
442527,1585872000,2020-04-03 00:00:00,XRP/USD,0.17795,0.18296,0.17588,0.17951,0.17970,9169462.37222576,1646010.1904382461,1969
442526,1585785600,2020-04-02 00:00:00,XRP/USD,0.17558,0.18675,0.17470,0.17854,0.17907,17507927.28753066,3125865.337915724,3830
